,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ALL,59.9 ,58.9 ,59.3 ,57.9 ,57.9 ,57.4 ,55.3 ,54.4 ,54.0 ,54.1 ,53.9 ,54.1 ,55.1 ,52.1 ,53.6 ,53.7 ,54.0 ,55.0 ,55.0 ,55.0 ,57.0 
Males,64.9 ,63.0 ,63.9 ,62.3 ,62.5 ,61.7 ,59.5 ,58.7 ,58.2 ,58.2 ,57.9 ,58.2 ,59.4 ,56.2 ,57.9 ,58.1 ,58.3 ,59.6 ,60.0 ,60.0 ,62.1 
Females,55.4 ,55.2 ,55.2 ,53.8 ,53.8 ,53.5 ,51.6 ,50.7 ,50.2 ,50.4 ,50.4 ,50.4 ,51.3 ,48.5 ,49.8 ,49.9 ,50.3 ,51.0 ,50.6 ,50.6 ,52.5 
