,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ALL,81.5,80.1,80.5,79.2,78.9,77.7,73.4,72.2,71.5,70.8,71.1,69.8,69.8,68.1,67.8,67.3,67,68,68.9,67.7,69.1
Males,89.5,87.5,87.9,86.6,86.3,84.9,79.9,78.6,78,76.6,77.2,75.7,76.2,74.5,73.9,73.3,73.2,74.3,75.5,74.7,75.4
Females,74.3,73.3,73.9,72.5,72.3,71.1,67.7,66.4,65.7,65.6,65.7,64.5,64.2,62.5,62.6,62,61.6,62.4,63,61.5,63.5
