,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ALL,280.0 ,273.9 ,273.5 ,270.7 ,269.0 ,266.2 ,274.1 ,271.2 ,269.9 ,266.1 ,267.4 ,264.4 ,264.1 ,264.6 ,260.2 ,257.6 ,255.1 ,259.8 ,258.6 ,256.8 ,257.8 
Males,307.6 ,297.3 ,298.8 ,294.7 ,293.3 ,290.9 ,299.9 ,297.3 ,297.8 ,291.7 ,294.0 ,290.4 ,291.7 ,291.2 ,287.2 ,284.6 ,281.6 ,286.9 ,286.7 ,286.0 ,285.6 
Females,255.0 ,252.8 ,251.0 ,248.9 ,247.3 ,244.0 ,251.3 ,248.3 ,244.7 ,243.1 ,244.0 ,241.2 ,239.7 ,241.3 ,236.8 ,233.6 ,232.1 ,235.6 ,233.4 ,230.8 ,233.2 
